timestamp,poly_btc_chg,binance_chg,delta,up_chg,down_chg
2026-03-05T02:25:03+00:00,,,21.05,,
2026-03-05T02:25:04+00:00,0,0,21.05,-1,3
2026-03-05T02:25:05+00:00,-8.5,-6.8,19.35,-2,3
2026-03-05T02:25:06+00:00,0,-4.01,23.36,-3,0
2026-03-05T02:25:07+00:00,-0.16,-8,31.2,0,2
2026-03-05T02:25:08+00:00,-10.79,-0.05,20.46,0,0
2026-03-05T02:25:09+00:00,-5.94,0,14.52,-0.9,-0.9
2026-03-05T02:25:10+00:00,-1.48,1.14,11.9,0.9,-0.1
2026-03-05T02:25:11+00:00,1.63,0.01,13.52,1,0
2026-03-05T02:25:12+00:00,0,-0.01,13.53,0,0
2026-03-05T02:25:13+00:00,2.62,0.01,16.14,0,0
2026-03-05T02:25:14+00:00,0,-0.01,16.15,0,0
2026-03-05T02:25:15+00:00,0.41,0.01,16.55,0,0
2026-03-05T02:25:16+00:00,1,0,17.55,-0.9,-0.9
2026-03-05T02:25:17+00:00,-1.5,0,16.05,0,0.9
2026-03-05T02:25:18+00:00,0.95,0,17,0.9,0
2026-03-05T02:25:19+00:00,-0.81,0,16.19,-1,1
2026-03-05T02:25:20+00:00,0,0,16.19,-1,-0.9
2026-03-05T02:25:21+00:00,-3.03,0,13.16,1,0.9
2026-03-05T02:25:22+00:00,-0.66,0,12.5,-1,0
2026-03-05T02:25:23+00:00,1.81,0,14.31,1,-0.9
2026-03-05T02:25:24+00:00,1.69,0,16,-0.9,0.9
2026-03-05T02:25:25+00:00,-0.28,0,15.72,-0.1,-0.9
2026-03-05T02:25:26+00:00,-0.11,0,15.61,0,0
2026-03-05T02:25:27+00:00,-0.01,0,15.6,1,0.9
2026-03-05T02:25:28+00:00,-0.15,-0.01,15.46,-0.9,-0.9
2026-03-05T02:25:29+00:00,-0.4,0.01,15.05,0.9,0
2026-03-05T02:25:30+00:00,-0.21,0,14.84,-0.9,0.9
2026-03-05T02:25:31+00:00,-0.87,8.27,5.7,2.9,-3
2026-03-05T02:25:32+00:00,0,5.63,0.07,3,-2
2026-03-05T02:25:33+00:00,6.6,0,6.67,2,-2
2026-03-05T02:25:34+00:00,3.56,0,10.23,0,0
2026-03-05T02:25:35+00:00,3.12,0,13.35,-1,0
2026-03-05T02:25:36+00:00,0.34,0,13.69,-2,2
2026-03-05T02:25:37+00:00,-0.89,0,12.8,0,1
2026-03-05T02:25:38+00:00,0,0,12.8,2,-2
2026-03-05T02:25:39+00:00,-1.51,0,11.29,0,-0.9
2026-03-05T02:25:40+00:00,0.61,-0.01,11.91,0,0.9
2026-03-05T02:25:41+00:00,1.69,0,13.6,-4,4
2026-03-05T02:25:42+00:00,0,0,13.6,0,-0.9
2026-03-05T02:25:43+00:00,-3.23,0.01,10.36,-0.9,0.9
2026-03-05T02:25:44+00:00,0.39,0,10.75,0.9,-0.9
2026-03-05T02:25:45+00:00,0,-5.63,16.38,0,0
2026-03-05T02:25:46+00:00,-0.19,-0.47,16.66,-2,2.9
2026-03-05T02:25:47+00:00,-0.88,0,15.78,-0.9,-2
2026-03-05T02:25:48+00:00,-2.74,-0.36,13.4,0,2
2026-03-05T02:25:49+00:00,-1.66,-0.02,11.76,1.9,-1.9
2026-03-05T02:25:50+00:00,-0.14,-0.01,11.63,-0.9,0
2026-03-05T02:25:51+00:00,-0.12,0.01,11.5,-0.1,0.9
2026-03-05T02:25:52+00:00,-0.02,0,11.48,0,1
2026-03-05T02:25:53+00:00,-0.1,0,11.38,0,0
2026-03-05T02:25:54+00:00,0,0,11.38,0,0
2026-03-05T02:25:55+00:00,-0.04,0,11.34,-0.9,-0.9
2026-03-05T02:25:56+00:00,-0.01,-0.99,12.32,0.9,-0.1
2026-03-05T02:25:57+00:00,-0.01,-0.84,13.15,-0.9,0.1
2026-03-05T02:25:58+00:00,-0.53,-0.01,12.63,-0.1,0.9
2026-03-05T02:25:59+00:00,-0.3,0,12.33,1,-0.9
2026-03-05T02:26:00+00:00,0.25,-1.49,14.07,0,0.9
2026-03-05T02:26:01+00:00,-0.3,0,13.77,-1,0
2026-03-05T02:26:02+00:00,-0.42,-7.11,20.46,0,0
2026-03-05T02:26:03+00:00,0,0,20.46,0,0
2026-03-05T02:26:04+00:00,-2.35,0,18.11,0,1
2026-03-05T02:26:05+00:00,-4.95,-1,14.16,0,0
2026-03-05T02:26:06+00:00,-0.42,0,13.74,-2,1
2026-03-05T02:26:07+00:00,-0.38,7.67,5.69,0,0.1
2026-03-05T02:26:08+00:00,-0.03,0,5.66,5,-4.1
2026-03-05T02:26:09+00:00,6.06,-0.01,11.73,-1,-0.9
2026-03-05T02:26:10+00:00,2.82,0.01,14.54,2,-0.1
2026-03-05T02:26:11+00:00,0.3,0,14.84,0,0
2026-03-05T02:26:12+00:00,0.06,0,14.9,-4,2
2026-03-05T02:26:13+00:00,-1.59,0,13.31,0.1,0
2026-03-05T02:26:14+00:00,-1.55,-3.07,14.83,-2.1,1
2026-03-05T02:26:15+00:00,-0.97,0,13.86,0,2
2026-03-05T02:26:16+00:00,-2.21,-5.82,17.47,1,2
2026-03-05T02:26:17+00:00,0,0,17.47,-3,-0.9
2026-03-05T02:26:18+00:00,-1.74,0,15.73,0,0
2026-03-05T02:26:19+00:00,-0.91,0,14.82,0,1.9
2026-03-05T02:26:20+00:00,-0.2,-3.86,18.48,0,0
2026-03-05T02:26:21+00:00,0.04,-6.35,24.87,-2,1
2026-03-05T02:26:22+00:00,-2.8,-0.12,22.19,0,0
2026-03-05T02:26:23+00:00,-7.07,0,15.12,-2,1
2026-03-05T02:26:24+00:00,0,0.01,15.11,2,0
2026-03-05T02:26:25+00:00,0.16,-0.01,15.28,-2,0
2026-03-05T02:26:26+00:00,1.53,-6.31,23.12,-2,1
2026-03-05T02:26:27+00:00,-0.27,-4.4,27.25,1,2
2026-03-05T02:26:28+00:00,-2.44,0,24.81,-5,2
2026-03-05T02:26:29+00:00,-2.92,0,21.89,0,2
2026-03-05T02:26:30+00:00,-8.41,0.01,13.47,2,-1
2026-03-05T02:26:31+00:00,-1,0,12.47,-0.9,-0.9
2026-03-05T02:26:32+00:00,2.12,-0.01,14.6,2.9,-2.1
2026-03-05T02:26:33+00:00,0,0.01,14.59,-1,2
2026-03-05T02:26:34+00:00,1.51,19.9,-3.8,-0.9,-1
2026-03-05T02:26:35+00:00,-0.02,-0.01,-3.81,7.9,-7
2026-03-05T02:26:36+00:00,13.91,0.01,10.09,1,1
2026-03-05T02:26:37+00:00,0,-0.01,10.1,-1.9,0
2026-03-05T02:26:38+00:00,0.63,0.01,10.72,0,0
2026-03-05T02:26:39+00:00,-0.15,-0.01,10.58,0.9,0
2026-03-05T02:26:40+00:00,0,0,10.58,-0.9,-1
2026-03-05T02:26:41+00:00,-0.22,0,10.36,0.9,1
2026-03-05T02:26:42+00:00,-0.19,0,10.17,-2,0.1
2026-03-05T02:26:43+00:00,-0.09,0.01,10.07,0.1,0
2026-03-05T02:26:44+00:00,0.05,-8.47,18.59,-4.1,4.9
2026-03-05T02:26:45+00:00,-0.34,-0.01,18.26,0,0
2026-03-05T02:26:46+00:00,0,0.01,18.25,-1,1
2026-03-05T02:26:47+00:00,-5.92,0,12.33,-0.9,0.1
2026-03-05T02:26:48+00:00,-0.65,0,11.68,0.9,0
2026-03-05T02:26:49+00:00,-0.54,0,11.14,0,0.9
2026-03-05T02:26:50+00:00,-0.02,-0.01,11.13,-0.9,-0.9
2026-03-05T02:26:51+00:00,0,-0.01,11.14,-0.1,0.9
2026-03-05T02:26:52+00:00,-0.52,0,10.62,0,1
2026-03-05T02:26:53+00:00,-0.84,0,9.78,-0.9,-0.9
2026-03-05T02:26:54+00:00,-0.3,-4.24,13.72,-0.1,1.9
2026-03-05T02:26:55+00:00,0.13,0,13.85,-0.9,-1
2026-03-05T02:26:56+00:00,-1.22,0,12.63,0,0.1
2026-03-05T02:26:57+00:00,-0.92,0,11.71,-1,1
2026-03-05T02:26:58+00:00,-0.01,0.01,11.69,0.9,-0.1
2026-03-05T02:26:59+00:00,-0.13,0,11.56,2,-1
2026-03-05T02:27:00+00:00,0,0,11.56,-0.9,-1
2026-03-05T02:27:01+00:00,0,0,11.56,-1.1,2
2026-03-05T02:27:02+00:00,0.13,-0.01,11.7,1,0
2026-03-05T02:27:03+00:00,-0.01,-5.75,17.44,-3,2
2026-03-05T02:27:04+00:00,-0.02,-0.35,17.77,-1,2
2026-03-05T02:27:05+00:00,-2.41,0,15.36,-0.9,-1
2026-03-05T02:27:06+00:00,-2.83,0,12.53,0.9,1
2026-03-05T02:27:07+00:00,-2.54,-15.27,25.26,-4,2
2026-03-05T02:27:08+00:00,-0.23,0,25.03,-2,3
2026-03-05T02:27:09+00:00,0,-19.56,44.59,-1,0.1
2026-03-05T02:27:10+00:00,-13.87,0,30.72,-3,3.9
2026-03-05T02:27:11+00:00,0,0.01,30.71,-1,2
2026-03-05T02:27:12+00:00,-14.56,0,16.15,0,0
2026-03-05T02:27:13+00:00,-2.95,-3.81,17.01,0,0
2026-03-05T02:27:14+00:00,-0.03,0,16.98,1,-2
2026-03-05T02:27:15+00:00,-1.64,0,15.34,-1.9,1.1
2026-03-05T02:27:16+00:00,-0.92,0,14.42,0.9,-0.1
2026-03-05T02:27:17+00:00,0,0,14.42,-0.9,1
2026-03-05T02:27:18+00:00,0.07,7.05,7.44,0,-0.9
2026-03-05T02:27:19+00:00,-0.38,0,7.06,4.9,-4.1
2026-03-05T02:27:20+00:00,-0.57,-0.01,6.5,-1.9,2
2026-03-05T02:27:21+00:00,9.78,0.01,16.27,0,-0.9
2026-03-05T02:27:22+00:00,-1.89,0,14.38,0.9,0.9
2026-03-05T02:27:23+00:00,0,0,14.38,-1.9,0
2026-03-05T02:27:24+00:00,-0.66,-3.24,16.96,0,1
2026-03-05T02:27:25+00:00,0,-0.01,16.97,-1.1,1
2026-03-05T02:27:26+00:00,-0.61,-2.7,19.06,-1,1
2026-03-05T02:27:27+00:00,-7.48,-0.87,12.45,0.1,0
2026-03-05T02:27:28+00:00,-2.02,0,10.43,0.9,-1
2026-03-05T02:27:29+00:00,-0.24,0,10.19,0,0.1
