timestamp,poly_btc_chg,binance_chg,delta,up_chg,down_chg
2026-03-05T01:35:04+00:00,,,,,
2026-03-05T01:35:09+00:00,16.52,,,8,-7.1
2026-03-05T01:35:14+00:00,-1.97,,,-8,7
2026-03-05T01:35:19+00:00,-20.22,,,-0.9,1
2026-03-05T01:35:29+00:00,9.34,,,3.9,-3.9
2026-03-05T01:35:34+00:00,-7,,,-3,3.9
2026-03-05T01:35:39+00:00,-0.8,,,7,-7
2026-03-05T01:35:44+00:00,17.4,,,1,-1
2026-03-05T01:35:49+00:00,0.51,,,1,-1.9
2026-03-05T01:35:54+00:00,0.71,,,1,-1.1
2026-03-05T01:35:59+00:00,-2.05,,,-2,2
2026-03-05T01:36:04+00:00,2.42,,,0,1
2026-03-05T01:36:09+00:00,-0.38,,,1,-2
2026-03-05T01:36:14+00:00,2.87,,,1,0
2026-03-05T01:36:19+00:00,-1.8,,,-2,1.1
2026-03-05T01:36:24+00:00,-26.03,,,-10,11.9
2026-03-05T01:36:29+00:00,-2.37,,,-2,-1
2026-03-05T01:36:34+00:00,0.45,,,7,-7
2026-03-05T01:36:39+00:00,25.29,,,4.1,-3
2026-03-05T01:36:44+00:00,-4.9,,,-3,3
2026-03-05T01:36:49+00:00,-21.48,,,-7.1,7
2026-03-05T01:36:54+00:00,-4.31,,,1,-0.9
2026-03-05T01:37:05+00:00,32.51,,,17,-16.1
2026-03-05T01:37:15+00:00,-24.03,,,-19.9,18.1
2026-03-05T01:37:20+00:00,-3.6,,,0,0
2026-03-05T01:37:25+00:00,-0.62,,,1.9,-0.1
2026-03-05T01:37:30+00:00,1.99,,,-1,0.1
2026-03-05T01:37:35+00:00,19.57,,,10,-11
2026-03-05T01:37:40+00:00,1.09,,,5,-4.1
2026-03-05T01:37:45+00:00,-7.34,,,-16,15
2026-03-05T01:37:50+00:00,-15.6,,,-1,2
2026-03-05T01:37:55+00:00,-2.65,,,-1.9,1.1
2026-03-05T01:38:00+00:00,-0.93,,,-1,1
2026-03-05T01:38:05+00:00,-5.35,,,-0.1,1
2026-03-05T01:38:10+00:00,12.68,,,6,-6.1
2026-03-05T01:38:15+00:00,2.19,,,0.1,-0.9
2026-03-05T01:38:20+00:00,16.05,,,0.9,-1.1
2026-03-05T01:38:25+00:00,-14.23,,,2,3
2026-03-05T01:38:30+00:00,5.86,,,0.1,-5
2026-03-05T01:38:35+00:00,-2.57,,,4.9,-7
2026-03-05T01:38:40+00:00,47.09,,,17,-14
2026-03-05T01:38:45+00:00,-8.26,,,-14,13
2026-03-05T01:38:50+00:00,-32.94,,,-12,12
2026-03-05T01:38:55+00:00,-4.7,,,-11,8
2026-03-05T01:39:00+00:00,-16.73,,,-8,8
2026-03-05T01:39:05+00:00,-8.38,,,-2,9
2026-03-05T01:39:10+00:00,6.96,,,9,-12
2026-03-05T01:39:22+00:00,-1.64,,,4,-4
2026-03-05T01:39:27+00:00,16.11,,,-3,3
2026-03-05T01:39:32+00:00,-4.72,,,2,-3
2026-03-05T01:39:37+00:00,-0.27,,,-24,26
2026-03-05T01:39:42+00:00,-3.55,,,12,-13
2026-03-05T01:39:47+00:00,-24.13,,,-20,19
2026-03-05T01:39:52+00:00,-7.43,,,-2,3
2026-03-05T01:39:57+00:00,13.87,,,-1,1
2026-03-05T01:40:02+00:00,1.33,,,-2,1
