timestamp,poly_btc_chg,binance_chg,delta,up_chg,down_chg
2026-03-05T02:30:02+00:00,,,10.38,,
2026-03-05T02:30:03+00:00,1.56,-7.33,19.27,1,0
2026-03-05T02:30:04+00:00,0,-0.01,19.28,-2,3
2026-03-05T02:30:05+00:00,-0.86,0.01,18.41,-2,3
2026-03-05T02:30:06+00:00,-1.95,0,16.46,-2,1
2026-03-05T02:30:07+00:00,-0.97,-6.53,22.02,0,0
2026-03-05T02:30:08+00:00,-0.23,-12.1,33.89,-4,3
2026-03-05T02:30:09+00:00,-8.36,0,25.53,-1,1
2026-03-05T02:30:10+00:00,-5.17,-0.01,20.37,2,2
2026-03-05T02:30:11+00:00,-2.93,0.01,17.43,-3,0
2026-03-05T02:30:12+00:00,0,-0.01,17.44,0,-0.9
2026-03-05T02:30:13+00:00,0.05,0,17.49,-1,1.9
2026-03-05T02:30:14+00:00,0.05,0.01,17.53,-1,1
2026-03-05T02:30:15+00:00,0,-3.82,21.35,-0.9,-0.9
2026-03-05T02:30:16+00:00,-5.99,0.01,15.35,-0.1,1.9
2026-03-05T02:30:17+00:00,0,-2.09,17.44,0,0
2026-03-05T02:30:18+00:00,-2.2,-0.01,15.25,-1,1
2026-03-05T02:30:19+00:00,-0.44,-7.84,22.65,-1,0
2026-03-05T02:30:20+00:00,-2.39,-0.01,20.27,-1,2
2026-03-05T02:30:21+00:00,0,-10.19,30.46,-3,0
2026-03-05T02:30:22+00:00,-4.23,-14,40.23,-1,2
2026-03-05T02:30:23+00:00,-1.78,0.01,38.44,-3,5
2026-03-05T02:30:24+00:00,-24.5,0,13.94,-1,0
2026-03-05T02:30:25+00:00,0,-0.01,13.95,1,-1
2026-03-05T02:30:26+00:00,2.63,6.29,10.29,0,1
2026-03-05T02:30:27+00:00,1.33,0.01,11.61,-0.9,-3
2026-03-05T02:30:28+00:00,3,-0.01,14.62,1.9,0
2026-03-05T02:30:29+00:00,2.52,0.01,17.13,1,1
2026-03-05T02:30:30+00:00,-2.63,0,14.5,0,0
2026-03-05T02:30:31+00:00,0.11,-0.01,14.62,1,-1
