timestamp,coin,price
2026-03-25T00:22:38.306Z,ETH,2153.79000000
2026-03-25T00:22:38.849Z,BTC,70578.47000000
2026-03-25T00:22:38.868Z,ETH,2153.80000000
2026-03-25T00:22:38.870Z,ETH,2153.81000000
2026-03-25T00:22:38.871Z,ETH,2153.83000000
2026-03-25T00:22:38.871Z,ETH,2153.84000000
2026-03-25T00:22:38.873Z,ETH,2153.90000000
2026-03-25T00:22:38.873Z,ETH,2153.91000000
2026-03-25T00:22:38.873Z,ETH,2153.92000000
2026-03-25T00:22:38.874Z,ETH,2153.93000000
2026-03-25T00:22:38.874Z,ETH,2153.94000000
2026-03-25T00:22:38.875Z,ETH,2153.95000000
2026-03-25T00:22:38.875Z,ETH,2153.97000000
2026-03-25T00:22:38.876Z,ETH,2153.98000000
2026-03-25T00:22:38.876Z,ETH,2153.99000000
2026-03-25T00:22:38.876Z,ETH,2154.00000000
2026-03-25T00:22:38.876Z,ETH,2154.02000000
2026-03-25T00:22:38.876Z,ETH,2154.03000000
2026-03-25T00:22:38.948Z,BTC,70578.46000000
2026-03-25T00:22:38.997Z,ETH,2154.04000000
2026-03-25T00:22:39.001Z,ETH,2154.05000000
2026-03-25T00:22:39.515Z,ETH,2154.06000000
2026-03-25T00:22:40.047Z,BTC,70578.47000000
2026-03-25T00:22:40.335Z,BTC,70578.46000000
2026-03-25T00:22:41.602Z,BTC,70578.47000000
2026-03-25T00:22:41.858Z,BTC,70578.46000000
2026-03-25T00:22:41.978Z,BTC,70578.47000000
2026-03-25T00:22:42.472Z,BTC,70578.46000000
2026-03-25T00:22:43.495Z,ETH,2154.07000000
2026-03-25T00:22:43.496Z,ETH,2154.09000000
2026-03-25T00:22:43.496Z,ETH,2154.10000000
2026-03-25T00:22:43.501Z,ETH,2154.12000000
2026-03-25T00:22:43.502Z,ETH,2154.13000000
2026-03-25T00:22:43.503Z,ETH,2154.14000000
2026-03-25T00:22:43.517Z,ETH,2154.15000000
2026-03-25T00:22:43.518Z,ETH,2154.16000000
2026-03-25T00:22:43.518Z,ETH,2154.17000000
2026-03-25T00:22:43.519Z,ETH,2154.18000000
2026-03-25T00:22:43.519Z,ETH,2154.19000000
2026-03-25T00:22:45.115Z,ETH,2154.18000000
2026-03-25T00:22:45.116Z,ETH,2154.17000000
2026-03-25T00:22:45.117Z,ETH,2154.16000000
2026-03-25T00:22:45.117Z,ETH,2154.15000000
2026-03-25T00:22:45.752Z,BTC,70578.47000000
2026-03-25T00:22:46.299Z,BTC,70578.46000000
2026-03-25T00:22:47.794Z,ETH,2154.14000000
2026-03-25T00:22:48.715Z,ETH,2154.15000000
2026-03-25T00:22:48.771Z,ETH,2154.16000000
2026-03-25T00:22:48.771Z,ETH,2154.19000000
2026-03-25T00:22:48.771Z,ETH,2154.20000000
2026-03-25T00:22:48.772Z,ETH,2154.21000000
2026-03-25T00:22:48.773Z,ETH,2154.22000000
2026-03-25T00:22:48.773Z,ETH,2154.25000000
2026-03-25T00:22:48.774Z,ETH,2154.27000000
2026-03-25T00:22:48.774Z,ETH,2154.28000000
2026-03-25T00:22:49.192Z,BTC,70578.47000000
2026-03-25T00:22:49.563Z,BTC,70578.48000000
2026-03-25T00:22:49.563Z,BTC,70578.82000000
2026-03-25T00:22:49.570Z,BTC,70581.16000000
2026-03-25T00:22:49.570Z,ETH,2154.29000000
2026-03-25T00:22:49.571Z,ETH,2154.30000000
2026-03-25T00:22:49.572Z,ETH,2154.33000000
2026-03-25T00:22:49.572Z,ETH,2154.34000000
2026-03-25T00:22:49.573Z,ETH,2154.35000000
2026-03-25T00:22:49.574Z,BTC,70581.17000000
2026-03-25T00:22:49.575Z,BTC,70582.28000000
