timestamp,poly_btc_chg,binance_chg,delta,up_chg,down_chg
2026-03-05T01:45:02+00:00,,,4.68,,
2026-03-05T01:45:03+00:00,4.33,-23.65,32.66,2,0
2026-03-05T01:45:04+00:00,5.92,-4.35,42.93,-1,1
2026-03-05T01:45:05+00:00,-22.27,8.79,11.87,-3,2
2026-03-05T01:45:06+00:00,-2,8.45,1.42,1,3
2026-03-05T01:45:07+00:00,1.11,-5.66,8.19,-4,-4
2026-03-05T01:45:08+00:00,11.26,2.34,17.11,4,0
2026-03-05T01:45:09+00:00,0.88,-4.78,22.77,1,0
2026-03-05T01:45:10+00:00,0.23,-4.26,27.26,-4,3
2026-03-05T01:45:11+00:00,0,-15.99,43.25,2,-1
2026-03-05T01:45:12+00:00,-4.92,-0.01,38.34,-1,-1
2026-03-05T01:45:13+00:00,-17.95,0,20.39,-3,2
2026-03-05T01:45:14+00:00,0,0,20.39,0,3
2026-03-05T01:45:15+00:00,-1.1,5.48,13.81,-0.9,-1
2026-03-05T01:45:16+00:00,2.25,0,16.06,3.9,-2
2026-03-05T01:45:17+00:00,2.02,0,18.08,0,0
2026-03-05T01:45:18+00:00,0,-0.01,18.09,-0.9,0
2026-03-05T01:45:19+00:00,1.86,0.01,19.94,0.9,0
2026-03-05T01:45:20+00:00,0.22,0,20.16,0,0
2026-03-05T01:45:21+00:00,-0.11,-4.65,24.7,-0.9,0
2026-03-05T01:45:22+00:00,0,-0.82,25.52,-2.1,3
2026-03-05T01:45:23+00:00,-2.8,-14.43,37.15,-2,2
2026-03-05T01:45:24+00:00,-5.16,0,31.99,-3,2
2026-03-05T01:45:25+00:00,0,0,31.99,-2,0
2026-03-05T01:45:26+00:00,-11.61,-0.01,20.39,0,2
2026-03-05T01:45:27+00:00,-1.31,5.1,13.98,2,-2
2026-03-05T01:45:28+00:00,-0.51,5.12,8.35,3,0
2026-03-05T01:45:29+00:00,0,11.6,-3.25,3,-4
2026-03-05T01:45:32+00:00,,-21.72,,-3,2
2026-03-05T01:45:36+00:00,,-15.95,37.98,-5,4
2026-03-05T01:45:37+00:00,-7.97,-0.01,30.02,1,0
2026-03-05T01:45:38+00:00,-7.1,0.01,22.91,0,0
2026-03-05T01:45:39+00:00,-1.45,-14.81,36.27,0,0
2026-03-05T01:45:40+00:00,-0.95,-4,39.32,0,1
2026-03-05T01:45:41+00:00,-10.43,2.84,26.05,-5,4
2026-03-05T01:45:42+00:00,-4.63,6.25,15.17,2,-1
2026-03-05T01:45:43+00:00,0,-9.09,24.26,1,-1
2026-03-05T01:45:44+00:00,1.98,9.02,17.22,-1,0
2026-03-05T01:45:45+00:00,-0.69,8.47,8.06,3,-3
2026-03-05T01:45:46+00:00,-2.75,1.8,3.51,-1,1
2026-03-05T01:45:47+00:00,13.32,9.17,7.66,1,0
2026-03-05T01:45:48+00:00,1.28,0.59,8.35,2,-3
2026-03-05T01:45:49+00:00,7.29,0,15.64,1,-1
2026-03-05T01:45:50+00:00,2.36,7.09,10.91,2,-1
2026-03-05T01:45:51+00:00,2.3,-0.24,13.45,-4,1
2026-03-05T01:45:52+00:00,3.78,-6.59,23.82,1,1
2026-03-05T01:45:53+00:00,0.11,-3.16,27.09,-1,1
2026-03-05T01:45:54+00:00,-0.61,2.89,23.59,-1,1
2026-03-05T01:45:55+00:00,-5.62,4.78,13.19,2,-2
2026-03-05T01:45:56+00:00,-1.24,1.39,10.56,2,-2
2026-03-05T01:45:57+00:00,4.06,11.04,3.58,1,-0.9
2026-03-05T01:45:58+00:00,1.35,5.26,-0.33,4,-2.1
2026-03-05T01:45:59+00:00,12.42,0.01,12.08,1,-2
2026-03-05T01:46:00+00:00,4.23,-3.97,20.28,-1,0
2026-03-05T01:46:01+00:00,1.76,4.24,17.8,-4,3
2026-03-05T01:46:02+00:00,-0.55,10.43,6.82,5,-5
2026-03-05T01:46:03+00:00,-2.01,16.17,-11.36,3,-3
2026-03-05T01:46:04+00:00,7.86,11.83,-15.33,1,-2
2026-03-05T01:46:05+00:00,18.6,-11.83,15.1,3,1
2026-03-05T01:46:06+00:00,13.67,-6.34,35.11,2,-4
2026-03-05T01:46:07+00:00,-0.27,0.01,34.83,-4,3
2026-03-05T01:46:08+00:00,-11.95,-5.1,27.98,1,0
2026-03-05T01:46:09+00:00,1.15,9.41,19.72,-2,1
2026-03-05T01:46:10+00:00,-1.76,0,17.96,-2,2
2026-03-05T01:46:11+00:00,-1.52,0.01,16.43,2,-1
2026-03-05T01:46:12+00:00,3.13,-0.01,19.57,0,-2
2026-03-05T01:46:13+00:00,0.34,18.3,1.61,3,0
2026-03-05T01:46:14+00:00,1.1,0,2.71,2,-3
2026-03-05T01:46:15+00:00,7.77,0,10.48,0,0
2026-03-05T01:46:16+00:00,5.04,-15.27,30.79,-4,4
2026-03-05T01:46:17+00:00,0.23,-10.67,41.69,0,1
2026-03-05T01:46:18+00:00,-6.4,14.77,20.52,-6,3
2026-03-05T01:46:19+00:00,-9.88,0,10.64,4,-3
2026-03-05T01:46:20+00:00,0,0,10.64,1,-1
2026-03-05T01:46:21+00:00,8.98,-0.01,19.63,2,0
2026-03-05T01:46:22+00:00,3.37,0,23,-4,3
2026-03-05T01:46:23+00:00,-0.66,-10.18,32.52,0,0
2026-03-05T01:46:24+00:00,-4.31,-15.54,43.75,-3,-0.9
2026-03-05T01:46:25+00:00,0,0,43.75,-5,3.9
2026-03-05T01:46:26+00:00,-24.07,0,19.68,1,4
2026-03-05T01:46:27+00:00,0.54,0,20.22,-1,0
2026-03-05T01:46:28+00:00,-1.09,0,19.13,0.1,0
2026-03-05T01:46:29+00:00,-1.06,0,18.07,-0.1,0
2026-03-05T01:46:30+00:00,-0.05,0.01,18.01,0,0
2026-03-05T01:46:31+00:00,0,0,18.01,2,-2
2026-03-05T01:46:32+00:00,1.95,-0.01,19.97,-0.9,2
2026-03-05T01:46:33+00:00,0.84,0,20.81,-1,0
2026-03-05T01:46:34+00:00,-0.7,0.01,20.1,0.9,0
2026-03-05T01:46:35+00:00,-3.42,0,16.68,0,-0.9
2026-03-05T01:46:36+00:00,-0.24,-0.01,16.45,2,-1.1
2026-03-05T01:46:37+00:00,1.14,0,17.59,-0.9,-1
2026-03-05T01:46:38+00:00,2.72,-0.29,20.6,-2.1,3
2026-03-05T01:46:39+00:00,0.11,0.01,20.7,0,1
2026-03-05T01:46:40+00:00,-3.21,-0.01,17.5,-0.9,0
2026-03-05T01:46:41+00:00,-0.88,0,16.62,0.9,-1
2026-03-05T01:46:42+00:00,0,0,16.62,-0.9,0.1
2026-03-05T01:46:43+00:00,-0.02,0.01,16.59,0.9,0
2026-03-05T01:46:44+00:00,0.13,12.55,4.17,0,-0.1
2026-03-05T01:46:45+00:00,0.5,0.18,4.49,6,-6
2026-03-05T01:46:46+00:00,3.51,7.23,0.77,1,-1
2026-03-05T01:46:47+00:00,10.71,0,11.48,0,1
2026-03-05T01:46:48+00:00,3.29,0,14.77,0,-1
2026-03-05T01:46:49+00:00,3.02,0,17.79,0,1
2026-03-05T01:46:50+00:00,0,-0.01,17.8,-1.9,1
2026-03-05T01:46:51+00:00,1.36,-0.05,19.21,-1.1,0
2026-03-05T01:46:52+00:00,-0.1,-11.12,30.23,-3,3
2026-03-05T01:46:53+00:00,-1.4,0,28.83,0,1
2026-03-05T01:46:54+00:00,-7.88,0,20.95,1,0
2026-03-05T01:46:55+00:00,-3.12,7.77,10.06,3,-4
2026-03-05T01:46:56+00:00,0.19,-13.21,23.46,-5,5
2026-03-05T01:46:57+00:00,3.51,0,26.97,-4,5
2026-03-05T01:46:58+00:00,-0.91,0,26.06,2,-3
2026-03-05T01:46:59+00:00,-4.97,0,21.09,1,0
2026-03-05T01:47:00+00:00,-0.54,-0.01,20.56,1,-1
2026-03-05T01:47:01+00:00,0.19,-3.33,24.08,-3,2
2026-03-05T01:47:02+00:00,0.6,-0.01,24.69,1,0
2026-03-05T01:47:03+00:00,-2.62,0.01,22.06,0,0
2026-03-05T01:47:04+00:00,-0.42,0,21.64,-1,-0.9
2026-03-05T01:47:05+00:00,0.89,0,22.53,-1,1
2026-03-05T01:47:06+00:00,0,0,22.53,1,0.9
2026-03-05T01:47:07+00:00,-0.02,0,22.51,0,-2
2026-03-05T01:47:08+00:00,-0.01,-0.01,22.51,0,1
2026-03-05T01:47:09+00:00,1.02,0,23.53,1,1
2026-03-05T01:47:10+00:00,0.65,0,24.18,-1,-0.9
2026-03-05T01:47:11+00:00,-0.72,0.01,23.45,1,-0.1
2026-03-05T01:47:12+00:00,-1.69,0,21.76,-0.9,0
2026-03-05T01:47:13+00:00,1.02,2.73,20.05,-1.1,0
2026-03-05T01:47:14+00:00,0.42,11.98,8.49,3,-1
2026-03-05T01:47:15+00:00,0,5.34,3.15,3,-5
2026-03-05T01:47:16+00:00,8.72,6.09,5.78,0,0.1
2026-03-05T01:47:17+00:00,4.07,6.58,3.27,4,-0.1
2026-03-05T01:47:18+00:00,12.3,0,15.57,1,-4
2026-03-05T01:47:19+00:00,-0.27,7.11,8.19,-1,0
2026-03-05T01:47:20+00:00,1.11,0,9.3,2,0
2026-03-05T01:47:21+00:00,7.98,8.88,8.4,1,-1
2026-03-05T01:47:22+00:00,0.19,0,8.59,5,-3
2026-03-05T01:47:23+00:00,0.87,-0.01,9.47,-3,0
2026-03-05T01:47:24+00:00,8.57,0,18.04,0,1
2026-03-05T01:47:25+00:00,-0.33,0,17.71,0,0
2026-03-05T01:47:26+00:00,0.79,-1.51,20.01,0,3
2026-03-05T01:47:27+00:00,0.55,-8.53,29.09,-5,3
