timestamp,btc_price,eth_price
2026-03-24T22:48:39.404Z,70275.97000000,2143.91000000
2026-03-24T22:48:40.088Z,70275.96000000,2143.91000000
2026-03-24T22:48:41.080Z,70275.97000000,2143.91000000
2026-03-24T22:48:42.087Z,70269.38000000,2143.76000000
2026-03-24T22:48:43.081Z,70269.39000000,2143.76000000
2026-03-24T22:48:44.093Z,70264.67000000,2143.76000000
2026-03-24T22:48:45.082Z,70264.67000000,2143.77000000
2026-03-24T22:48:46.096Z,70264.67000000,2143.77000000
2026-03-24T22:48:47.089Z,70264.67000000,2143.49000000
2026-03-24T22:48:48.088Z,70264.67000000,2143.48000000
2026-03-24T22:48:49.104Z,70264.67000000,2143.48000000
2026-03-24T22:48:50.093Z,70264.67000000,2143.48000000
2026-03-24T22:48:51.092Z,70264.67000000,2143.48000000
2026-03-24T22:48:52.087Z,70264.67000000,2143.48000000
2026-03-24T22:48:53.099Z,70264.68000000,2143.48000000
2026-03-24T22:48:54.092Z,70264.67000000,2143.48000000
2026-03-24T22:48:55.095Z,70271.13000000,2143.48000000
2026-03-24T22:48:56.270Z,70271.14000000,2143.48000000
2026-03-24T22:48:57.130Z,70271.14000000,2143.48000000
2026-03-24T22:48:58.096Z,70271.14000000,2143.49000000
2026-03-24T22:48:59.100Z,70271.14000000,2143.48000000
2026-03-24T22:49:00.098Z,70271.14000000,2143.48000000
2026-03-24T22:49:01.096Z,70280.00000000,2143.99000000
2026-03-24T22:49:02.097Z,70282.72000000,2144.14000000
2026-03-24T22:49:03.098Z,70285.69000000,2144.14000000
2026-03-24T22:49:04.098Z,70285.69000000,2144.14000000
2026-03-24T22:49:05.102Z,70280.81000000,2144.14000000
2026-03-24T22:49:06.104Z,70280.81000000,2144.15000000
2026-03-24T22:49:07.106Z,70280.81000000,2144.15000000
2026-03-24T22:49:08.104Z,70280.80000000,2144.23000000
2026-03-24T22:49:09.136Z,70280.80000000,2144.24000000
2026-03-24T22:49:10.108Z,70280.80000000,2144.45000000
2026-03-24T22:49:11.109Z,70280.81000000,2144.44000000
2026-03-24T22:49:12.111Z,70280.81000000,2144.44000000
2026-03-24T22:49:13.111Z,70280.81000000,2144.50000000
2026-03-24T22:49:14.107Z,70280.80000000,2144.51000000
2026-03-24T22:49:15.107Z,70282.80000000,2144.56000000
2026-03-24T22:49:16.119Z,70282.80000000,2144.56000000
2026-03-24T22:49:17.109Z,70282.80000000,2144.56000000
2026-03-24T22:49:18.113Z,70282.81000000,2144.55000000
2026-03-24T22:49:19.111Z,70282.81000000,2144.55000000
2026-03-24T22:49:20.114Z,70282.81000000,2144.55000000
2026-03-24T22:49:21.115Z,70282.81000000,2144.55000000
2026-03-24T22:49:22.128Z,70282.81000000,2144.57000000
2026-03-24T22:49:23.122Z,70282.81000000,2144.57000000
2026-03-24T22:49:24.118Z,70288.95000000,2144.57000000
2026-03-24T22:49:25.118Z,70288.94000000,2144.57000000
2026-03-24T22:49:26.130Z,70300.00000000,2144.85000000
2026-03-24T22:49:27.119Z,70300.00000000,2144.85000000
2026-03-24T22:49:28.122Z,70300.00000000,2144.85000000
2026-03-24T22:49:29.124Z,70300.00000000,2144.85000000
2026-03-24T22:49:30.122Z,70300.00000000,2144.86000000
2026-03-24T22:49:31.125Z,70299.99000000,2144.86000000
2026-03-24T22:49:32.125Z,70299.99000000,2144.86000000
2026-03-24T22:49:33.125Z,70300.00000000,2144.86000000
2026-03-24T22:49:34.124Z,70300.00000000,2144.86000000
2026-03-24T22:49:35.127Z,70299.99000000,2144.86000000
2026-03-24T22:49:36.126Z,70300.00000000,2144.86000000
2026-03-24T22:49:37.128Z,70300.01000000,2144.86000000
2026-03-24T22:49:38.128Z,70300.01000000,2144.86000000
2026-03-24T22:49:39.132Z,70300.01000000,2144.86000000
