# On-chain CTF Exchange OrderFilled (Polygon via Alchemy). price_per_share = usdc / shares for that fill.
# slug=sol-updown-5m-1774458000 title="Solana Up or Down - March 25, 1:00PM-1:05PM ET"
# window_unix=1774458000..1774458299 (300s before 5m end) blocks=84668983..84669132
# polygon_meta={"chainId":137,"headBlock":84671240,"headBlockTs":1774462515}
unix_seconds,iso_utc,block_number,tx_hash,log_index,outcome,side,shares,usdc,price_per_share
1774458009,2026-03-25T17:00:09.000Z,84668987,0xeb59b1a73f50a1bb3779d4759fe62b4a5f1d16f4d463b6f9d181d38f47ff8fec,2471,Down,buy,4.050000,1.822500,0.45000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xeb59b1a73f50a1bb3779d4759fe62b4a5f1d16f4d463b6f9d181d38f47ff8fec,2481,Down,buy,5.804544,2.612045,0.45000003
1774458009,2026-03-25T17:00:09.000Z,84668987,0xeb59b1a73f50a1bb3779d4759fe62b4a5f1d16f4d463b6f9d181d38f47ff8fec,2485,Up,buy,9.854544,5.419999,0.54999998
1774458009,2026-03-25T17:00:09.000Z,84668987,0xf8584b5452dee2a6d4f2a77ef5f68d3cd6c81c5e11d7c560db32edb66eff5f94,2576,Down,buy,9.945453,4.475454,0.45000002
1774458009,2026-03-25T17:00:09.000Z,84668987,0xf8584b5452dee2a6d4f2a77ef5f68d3cd6c81c5e11d7c560db32edb66eff5f94,2580,Up,buy,9.945453,5.469999,0.54999998
1774458009,2026-03-25T17:00:09.000Z,84668987,0x845d2724b8232826325d8aa01bcaca59d794281a4b256908d2b66e108c87255a,2620,Down,buy,1.190000,0.535500,0.45000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0x845d2724b8232826325d8aa01bcaca59d794281a4b256908d2b66e108c87255a,2630,Down,buy,3.810000,1.676400,0.44000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0x845d2724b8232826325d8aa01bcaca59d794281a4b256908d2b66e108c87255a,2634,Up,buy,5.000000,2.788100,0.55762000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xdf3a13ef7ccd3de797c2d2c01f75febd64b7d23cb62275ed3b07167eabdcec91,2732,Down,buy,3.770000,1.847300,0.49000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xdf3a13ef7ccd3de797c2d2c01f75febd64b7d23cb62275ed3b07167eabdcec91,2742,Down,buy,5.000000,2.450000,0.49000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xdf3a13ef7ccd3de797c2d2c01f75febd64b7d23cb62275ed3b07167eabdcec91,2752,Down,buy,6.230000,2.928100,0.47000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xdf3a13ef7ccd3de797c2d2c01f75febd64b7d23cb62275ed3b07167eabdcec91,2756,Up,buy,15.000000,7.774600,0.51830667
1774458009,2026-03-25T17:00:09.000Z,84668987,0x171cae6b96b5041bae43597d290c53404436b95d517217160116b360f94599fb,3155,Down,buy,12.000000,5.280000,0.44000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0x171cae6b96b5041bae43597d290c53404436b95d517217160116b360f94599fb,3159,Up,buy,12.000000,6.720000,0.56000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0x4effe8d10c78b8df3adfa3647c001123077b6a9a1282aeb20c4e70bb38fb4d87,3500,Down,buy,2.000000,0.880000,0.44000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0x4effe8d10c78b8df3adfa3647c001123077b6a9a1282aeb20c4e70bb38fb4d87,3510,Down,buy,3.000000,1.320000,0.44000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0x4effe8d10c78b8df3adfa3647c001123077b6a9a1282aeb20c4e70bb38fb4d87,3514,Up,buy,5.000000,2.800000,0.56000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xf14616f2a13b8fad2603c501106276b49d31bd36563845026c8af1d5415a434f,3545,Up,buy,5.000000,2.700000,0.54000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xf14616f2a13b8fad2603c501106276b49d31bd36563845026c8af1d5415a434f,3549,Down,buy,5.000000,2.300000,0.46000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0x78fe1b3217664b5ca52702a92ee2d531620ebe0e65f91f49047cca2f6b27d2fb,3681,Down,buy,3.000000,1.320000,0.44000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0x78fe1b3217664b5ca52702a92ee2d531620ebe0e65f91f49047cca2f6b27d2fb,3685,Up,buy,3.000000,1.680000,0.56000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xc0b610500e91de9b109fc7c933cf43ea68606d90aaee8192e6ce107c41a0cde0,4427,Down,buy,8.190000,3.603600,0.44000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xc0b610500e91de9b109fc7c933cf43ea68606d90aaee8192e6ce107c41a0cde0,4437,Down,buy,7.000000,3.080000,0.44000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xc0b610500e91de9b109fc7c933cf43ea68606d90aaee8192e6ce107c41a0cde0,4447,Down,buy,2.810000,1.236400,0.44000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xc0b610500e91de9b109fc7c933cf43ea68606d90aaee8192e6ce107c41a0cde0,4451,Up,buy,18.000000,10.080000,0.56000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xd31710eb2c6db8bbaf9bc2e886953dc5a3eb96bbc47ecc467a4f8d19feb06a92,4517,Up,buy,2.000000,1.100000,0.55000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xd31710eb2c6db8bbaf9bc2e886953dc5a3eb96bbc47ecc467a4f8d19feb06a92,4521,Down,buy,2.000000,0.900000,0.45000000
1774458011,2026-03-25T17:00:11.000Z,84668988,0xa45ecf6917ecf5b4c5e726582a9a43b528aa5ca175c3bf7ce1a430e33d441a42,1475,Down,buy,8.928570,3.928571,0.44000002
1774458011,2026-03-25T17:00:11.000Z,84668988,0xa45ecf6917ecf5b4c5e726582a9a43b528aa5ca175c3bf7ce1a430e33d441a42,1479,Up,buy,8.928570,4.999999,0.55999998
