timestamp,coin,price
2026-03-24T23:16:36.857Z,BTC,70549.17000000
2026-03-24T23:16:37.421Z,BTC,70549.16000000
2026-03-24T23:16:37.826Z,BTC,70549.15000000
2026-03-24T23:16:37.827Z,BTC,70549.06000000
2026-03-24T23:16:37.827Z,BTC,70548.52000000
2026-03-24T23:16:37.827Z,BTC,70548.37000000
2026-03-24T23:16:37.827Z,BTC,70547.05000000
2026-03-24T23:16:37.827Z,BTC,70546.68000000
2026-03-24T23:16:37.827Z,BTC,70546.25000000
2026-03-24T23:16:38.107Z,BTC,70546.24000000
2026-03-24T23:16:38.108Z,BTC,70545.86000000
2026-03-24T23:16:38.147Z,BTC,70545.35000000
2026-03-24T23:16:38.150Z,BTC,70545.34000000
2026-03-24T23:16:38.152Z,BTC,70545.33000000
2026-03-24T23:16:38.152Z,BTC,70544.18000000
2026-03-24T23:16:38.152Z,BTC,70543.52000000
2026-03-24T23:16:38.152Z,BTC,70543.20000000
2026-03-24T23:16:38.152Z,BTC,70542.87000000
2026-03-24T23:16:38.152Z,BTC,70542.74000000
2026-03-24T23:16:38.152Z,BTC,70542.50000000
2026-03-24T23:16:38.382Z,BTC,70542.49000000
2026-03-24T23:16:38.384Z,BTC,70542.48000000
2026-03-24T23:16:38.385Z,BTC,70542.37000000
2026-03-24T23:16:38.385Z,BTC,70541.31000000
2026-03-24T23:16:38.385Z,BTC,70540.89000000
2026-03-24T23:16:38.385Z,BTC,70540.88000000
2026-03-24T23:16:38.778Z,BTC,70540.89000000
2026-03-24T23:16:38.878Z,BTC,70540.88000000
2026-03-24T23:16:39.123Z,BTC,70540.89000000
2026-03-24T23:16:40.189Z,ETH,2151.03000000
2026-03-24T23:16:40.212Z,ETH,2151.02000000
2026-03-24T23:16:40.214Z,ETH,2151.01000000
2026-03-24T23:16:40.215Z,ETH,2151.00000000
2026-03-24T23:16:40.251Z,ETH,2150.99000000
2026-03-24T23:16:40.262Z,ETH,2150.98000000
2026-03-24T23:16:40.274Z,ETH,2150.97000000
2026-03-24T23:16:42.103Z,BTC,70540.88000000
2026-03-24T23:16:42.127Z,BTC,70540.89000000
2026-03-24T23:16:42.409Z,BTC,70540.88000000
2026-03-24T23:16:43.554Z,BTC,70540.89000000
2026-03-24T23:16:44.232Z,BTC,70540.90000000
2026-03-24T23:16:44.232Z,BTC,70541.31000000
2026-03-24T23:16:44.232Z,BTC,70542.00000000
2026-03-24T23:16:44.234Z,BTC,70542.01000000
2026-03-24T23:16:44.323Z,BTC,70542.50000000
2026-03-24T23:16:44.324Z,BTC,70542.51000000
2026-03-24T23:16:44.324Z,BTC,70543.26000000
2026-03-24T23:16:44.324Z,BTC,70543.52000000
2026-03-24T23:16:44.324Z,BTC,70544.84000000
2026-03-24T23:16:44.324Z,BTC,70545.35000000
2026-03-24T23:16:44.324Z,BTC,70546.26000000
2026-03-24T23:16:44.325Z,BTC,70546.67000000
2026-03-24T23:16:44.325Z,BTC,70547.05000000
2026-03-24T23:16:44.325Z,BTC,70547.44000000
2026-03-24T23:16:44.325Z,BTC,70548.52000000
2026-03-24T23:16:44.325Z,BTC,70548.53000000
2026-03-24T23:16:44.365Z,BTC,70549.14000000
2026-03-24T23:16:44.369Z,BTC,70549.15000000
2026-03-24T23:16:44.480Z,BTC,70550.41000000
2026-03-24T23:16:44.481Z,BTC,70550.42000000
2026-03-24T23:16:44.481Z,BTC,70550.58000000
2026-03-24T23:16:44.481Z,BTC,70551.18000000
2026-03-24T23:16:44.481Z,BTC,70552.00000000
2026-03-24T23:16:44.481Z,BTC,70552.90000000
2026-03-24T23:16:44.637Z,BTC,70553.21000000
2026-03-24T23:16:44.637Z,BTC,70553.22000000
2026-03-24T23:16:44.640Z,BTC,70553.29000000
2026-03-24T23:16:44.640Z,BTC,70553.84000000
2026-03-24T23:16:44.640Z,BTC,70554.11000000
2026-03-24T23:16:44.640Z,BTC,70556.14000000
2026-03-24T23:16:44.640Z,BTC,70556.32000000
2026-03-24T23:16:44.640Z,BTC,70556.50000000
2026-03-24T23:16:44.640Z,BTC,70557.19000000
2026-03-24T23:16:44.642Z,BTC,70557.20000000
2026-03-24T23:16:44.653Z,BTC,70557.34000000
2026-03-24T23:16:44.653Z,BTC,70557.64000000
2026-03-24T23:16:44.653Z,BTC,70557.93000000
2026-03-24T23:16:44.653Z,BTC,70557.94000000
2026-03-24T23:16:44.653Z,BTC,70557.95000000
2026-03-24T23:16:47.670Z,BTC,70557.96000000
2026-03-24T23:16:48.062Z,BTC,70557.95000000
2026-03-24T23:16:48.436Z,BTC,70557.96000000
2026-03-24T23:16:48.608Z,ETH,2150.98000000
2026-03-24T23:16:48.608Z,ETH,2150.99000000
2026-03-24T23:16:49.393Z,BTC,70557.95000000
2026-03-24T23:16:50.091Z,BTC,70557.96000000
2026-03-24T23:16:51.009Z,BTC,70557.95000000
2026-03-24T23:16:51.179Z,BTC,70557.96000000
2026-03-24T23:16:51.384Z,BTC,70557.95000000
2026-03-24T23:16:51.642Z,BTC,70557.96000000
2026-03-24T23:16:51.653Z,BTC,70557.97000000
2026-03-24T23:16:51.653Z,BTC,70558.22000000
2026-03-24T23:16:51.653Z,BTC,70558.97000000
