timestamp,poly_btc_chg,binance_chg,delta,up_chg,down_chg
2026-03-05T03:25:02+00:00,,,25.88,,
2026-03-05T03:25:03+00:00,-3.69,-0.01,22.2,,
2026-03-05T03:25:04+00:00,0,0.01,22.19,-0.1,-1
2026-03-05T03:25:04+00:00,0,-0.01,22.2,1,0
2026-03-05T03:25:05+00:00,0,-0.01,18.94,0,0.1
2026-03-05T03:25:05+00:00,-3.26,0.01,18.93,-1.9,1
2026-03-05T03:25:06+00:00,0,0.01,18.93,0,-0.1
2026-03-05T03:25:07+00:00,-1.35,-0.01,17.59,-1.1,2
2026-03-05T03:25:08+00:00,0,1.1,16,0,0
2026-03-05T03:25:08+00:00,0,0.24,14.59,0,0
2026-03-05T03:25:08+00:00,0,0.92,14.97,0,0
2026-03-05T03:25:08+00:00,0,0.01,17.3,1,0
2026-03-05T03:25:08+00:00,0,0.01,14.95,0,0
2026-03-05T03:25:08+00:00,-0.24,0.01,17.34,0.1,-0.9
2026-03-05T03:25:08+00:00,0,0.08,17.17,0,0
2026-03-05T03:25:08+00:00,0,0.01,17.33,0,0
2026-03-05T03:25:08+00:00,0,0.01,14.96,0,0
2026-03-05T03:25:08+00:00,0,0.1,14.84,0,0
2026-03-05T03:25:08+00:00,0,0.01,14.94,0,0
2026-03-05T03:25:08+00:00,0,0.01,17.1,0,0
2026-03-05T03:25:08+00:00,0,0.01,14.83,0,0
2026-03-05T03:25:08+00:00,0,0.1,15.89,0,0
2026-03-05T03:25:08+00:00,0,0.01,17.16,0,0
2026-03-05T03:25:08+00:00,0,0.04,17.12,0,0
2026-03-05T03:25:08+00:00,0,0.01,15.99,0,0
2026-03-05T03:25:08+00:00,0,0.01,17.25,0,0
2026-03-05T03:25:08+00:00,0,0.25,14.33,0,0
2026-03-05T03:25:08+00:00,0,0.02,17.31,-0.1,-0.1
2026-03-05T03:25:08+00:00,0,0.04,17.26,0,0
2026-03-05T03:25:08+00:00,0,0.01,14.58,0,0
2026-03-05T03:25:08+00:00,0,0.01,17.11,0,0
2026-03-05T03:25:09+00:00,0,0.01,15.01,0,0
2026-03-05T03:25:09+00:00,0,0.01,15.02,0,0
2026-03-05T03:25:09+00:00,0,0.14,15.03,0,0
2026-03-05T03:25:09+00:00,0.85,0.01,15.17,2,-2
2026-03-05T03:25:10+00:00,0.14,-0.01,15.16,0,1
2026-03-05T03:25:11+00:00,0,0.01,11.93,0,0
2026-03-05T03:25:11+00:00,0,0.01,20.18,0,0
2026-03-05T03:25:11+00:00,0,1.08,12.95,0,0
2026-03-05T03:25:11+00:00,0,0.88,14.05,0,0
2026-03-05T03:25:11+00:00,0,0.28,15.9,0,0
2026-03-05T03:25:11+00:00,0,0.01,15.72,0,0
2026-03-05T03:25:11+00:00,0,0.01,16.74,0.1,0
2026-03-05T03:25:11+00:00,0,0.01,19.66,0,0
2026-03-05T03:25:11+00:00,0,0.01,14.03,0,0
2026-03-05T03:25:11+00:00,0,0.4,19.67,0,0
2026-03-05T03:25:11+00:00,0,0.56,16.18,0,0
2026-03-05T03:25:11+00:00,0,0.5,18.77,0,0
2026-03-05T03:25:11+00:00,0,0.39,19.27,0,0
2026-03-05T03:25:11+00:00,0,0.03,14.93,0,0
2026-03-05T03:25:11+00:00,0,0.01,20.16,0,0
2026-03-05T03:25:11+00:00,0,0.79,17.45,0,0
2026-03-05T03:25:11+00:00,0,0.29,18.24,0,0
2026-03-05T03:25:11+00:00,0,0.69,16.76,0,0
2026-03-05T03:25:11+00:00,0,0.01,14.04,0,0
2026-03-05T03:25:11+00:00,0,1.29,10.64,0,0
2026-03-05T03:25:11+00:00,0,0.01,20.07,0,0
2026-03-05T03:25:11+00:00,0,0.01,16.75,0,0
2026-03-05T03:25:11+00:00,0,0.17,15.73,0,0
2026-03-05T03:25:11+00:00,0,0.01,20.17,0,0
2026-03-05T03:25:11+00:00,5.29,8.02,12.43,-0.9,-0.9
2026-03-05T03:25:11+00:00,0,1.29,10.64,0,0
2026-03-05T03:25:11+00:00,0,-1.29,11.93,0,0
2026-03-05T03:25:11+00:00,0,0.76,14.96,0,0
2026-03-05T03:25:11+00:00,0,0.13,18.53,0,0
2026-03-05T03:25:11+00:00,0,0.01,20.43,0,0
2026-03-05T03:25:11+00:00,0,0.49,11.94,0,0
2026-03-05T03:25:11+00:00,0,0.01,20.15,0,0
2026-03-05T03:25:11+00:00,0,0.11,18.66,0,0
2026-03-05T03:25:11+00:00,0,0.07,20.08,0,0
2026-03-05T03:25:11+00:00,0,0.24,20.19,0,0
2026-03-05T03:25:11+00:00,0,-9.8,20.44,-0.1,0
2026-03-05T03:25:12+00:00,0,0.01,8.92,0,0.9
2026-03-05T03:25:12+00:00,0,0.01,8.93,0,0
2026-03-05T03:25:12+00:00,0,2.32,10.63,0,0
2026-03-05T03:25:12+00:00,0,-0.01,8.93,2.9,-2
2026-03-05T03:25:12+00:00,0,0.01,10.62,0,0
2026-03-05T03:25:12+00:00,0,1.55,9.07,0,0
2026-03-05T03:25:12+00:00,0,0.13,8.94,0,0
2026-03-05T03:25:14+00:00,4.91,0.01,13.83,2,-2
2026-03-05T03:25:14+00:00,0,-0.01,13.84,-0.9,-0.9
2026-03-05T03:25:15+00:00,-0.18,0.01,13.65,-1.1,3.9
2026-03-05T03:25:16+00:00,0,-0.95,20.69,0,0
2026-03-05T03:25:16+00:00,0,-0.01,21.42,0,0
2026-03-05T03:25:16+00:00,0,-0.02,21.49,0,0
2026-03-05T03:25:16+00:00,0,-0.05,22.77,0,0
2026-03-05T03:25:16+00:00,0,-0.01,18.76,0,0
2026-03-05T03:25:16+00:00,0,-0.07,18.75,0,0
2026-03-05T03:25:16+00:00,0,-0.25,21.81,0,0
2026-03-05T03:25:16+00:00,0,-0.72,21.41,0,0
2026-03-05T03:25:16+00:00,0,-0.21,22.19,0,0
2026-03-05T03:25:16+00:00,0,-0.3,23.07,0,0
2026-03-05T03:25:16+00:00,0,-0.01,15.38,0,0
2026-03-05T03:25:16+00:00,0,-0.53,22.72,0,0
2026-03-05T03:25:16+00:00,0,-0.17,21.98,0,0
2026-03-05T03:25:16+00:00,0,-0.12,16.1,0,0
2026-03-05T03:25:16+00:00,0,-0.05,15.44,0,0
2026-03-05T03:25:16+00:00,0,-0.01,16.65,0,0
2026-03-05T03:25:16+00:00,0,-0.39,15.98,0,0
2026-03-05T03:25:16+00:00,0,-0.07,21.56,0,0
2026-03-05T03:25:16+00:00,0,-0.01,15.45,0,0
2026-03-05T03:25:16+00:00,0,-0.05,21.47,0,0
2026-03-05T03:25:16+00:00,0,-0.01,16.23,0,0
2026-03-05T03:25:16+00:00,0,-0.64,17.92,0,0
2026-03-05T03:25:16+00:00,0,-0.41,16.64,0,0
2026-03-05T03:25:16+00:00,0,-1.09,15.37,0,0
2026-03-05T03:25:16+00:00,0,-0.26,14.28,0,0
2026-03-05T03:25:16+00:00,0,-0.14,13.82,0,0
2026-03-05T03:25:16+00:00,0,-0.01,14.02,0,0
2026-03-05T03:25:16+00:00,0,-0.01,15.58,0,0
2026-03-05T03:25:16+00:00,0,-0.01,15.59,0,0
2026-03-05T03:25:16+00:00,0,-0.12,15.57,0,0
2026-03-05T03:25:16+00:00,0,-0.02,18.78,-0.9,-1
2026-03-05T03:25:16+00:00,0.01,-0.01,13.67,-1,0
2026-03-05T03:25:16+00:00,0,-0.01,18.8,0,0
2026-03-05T03:25:16+00:00,0,-0.08,16.22,0,0
2026-03-05T03:25:16+00:00,0,-0.62,17.28,0,0
2026-03-05T03:25:16+00:00,0,-0.01,15.39,0,0
2026-03-05T03:25:16+00:00,0,-0.76,18.68,0,0
2026-03-05T03:25:16+00:00,0,-0.01,18.79,0,0
2026-03-05T03:25:16+00:00,0,-0.06,19.74,0,0
2026-03-05T03:25:16+00:00,0,-0.19,14.01,0,0
2026-03-05T03:25:16+00:00,0,-0.01,16.66,0,0
2026-03-05T03:25:16+00:00,0,-0.01,13.68,0,0
