timestamp,poly_btc_chg,binance_chg,delta,up_chg,down_chg
2026-03-05T01:55:03+00:00,,,42.15,,
2026-03-05T01:55:04+00:00,-16.86,-5.71,31,-2,4
2026-03-05T01:55:07+00:00,,0.01,,0,0
2026-03-05T01:55:08+00:00,,-0.01,21.59,-2,1
2026-03-05T01:55:09+00:00,0,12.7,8.89,1,1
2026-03-05T01:55:10+00:00,0.84,6.72,3.01,5,-4
2026-03-05T01:55:11+00:00,4.76,-0.01,7.78,2,-2
2026-03-05T01:55:12+00:00,9.22,-0.01,17.01,-1,-1
2026-03-05T01:55:13+00:00,-1.04,0,15.97,-1,1
2026-03-05T01:55:14+00:00,0,0,15.97,-2,1
2026-03-05T01:55:15+00:00,-0.18,0.01,15.78,-1,1
2026-03-05T01:55:16+00:00,0.48,0,16.26,1,-2
2026-03-05T01:55:17+00:00,0.05,0,16.31,1,1
2026-03-05T01:55:18+00:00,0.05,0,16.36,0,1
2026-03-05T01:55:19+00:00,0,0,16.36,0,-2
2026-03-05T01:55:20+00:00,-0.11,-16.43,32.68,-0.9,0.1
2026-03-05T01:55:21+00:00,0.18,-2.41,35.27,-0.1,0.9
2026-03-05T01:55:22+00:00,0,0.01,35.26,-2,5
2026-03-05T01:55:23+00:00,-16.57,-19.88,38.57,-3,0
2026-03-05T01:55:24+00:00,0.11,0,38.68,0,0
2026-03-05T01:55:25+00:00,-10.88,0,27.8,1,0
2026-03-05T01:55:26+00:00,0,0,27.8,-1,0
2026-03-05T01:55:27+00:00,-2.89,0,24.91,0,-0.9
2026-03-05T01:55:28+00:00,0.22,13.39,11.74,1,0.9
2026-03-05T01:55:29+00:00,-0.05,0,11.69,2,-3
2026-03-05T01:55:30+00:00,3.85,0,15.54,0,0
2026-03-05T01:55:31+00:00,4.08,0,19.62,0.1,0
2026-03-05T01:55:32+00:00,-0.16,-0.01,19.47,0.9,0
2026-03-05T01:55:33+00:00,0.71,6.5,13.68,-0.9,0
2026-03-05T01:55:34+00:00,2.37,0,16.05,1,-1
2026-03-05T01:55:35+00:00,0.79,-6.5,23.34,-0.1,0
2026-03-05T01:55:36+00:00,2.46,-9.15,34.95,-4,3
2026-03-05T01:55:37+00:00,-4.16,0.01,30.78,1,2
2026-03-05T01:55:38+00:00,-6.5,0,24.28,-1.9,0
2026-03-05T01:55:39+00:00,0,-14.19,38.47,0.9,-0.9
